Tamanho,Bubble Sort,Insertion Sort,Selection Sort,Quicksort,Merge Sort
10000,482123.000000,482123.000000,162484.000000,1498.000000,3722.000000
20000,2074860.000000,2074860.000000,638700.000000,3102.000000,6946.000000
30000,4817378.000000,4817378.000000,1428621.000000,4926.000000,10644.000000
40000,8977183.000000,8977183.000000,2557742.000000,6668.000000,14471.000000
50000,13985092.000000,13985092.000000,4030377.000000,8826.000000,18843.000000
60000,20436488.000000,20436488.000000,5829661.000000,10904.000000,26568.000000
70000,28003786.000000,28003786.000000,7951881.000000,12463.000000,26790.000000
80000,36622454.000000,36622454.000000,10281184.000000,14397.000000,30405.000000
90000,46334039.000000,46334039.000000,12977330.000000,16668.000000,38802.000000
100000,57049631.000000,57049631.000000,15948797.000000,18498.000000,37856.000000
